	origin_times	tids	latitudes	longitudes	depths	max_hor_uncertainty	max_ver_uncertainty	azimuth_max_hor_unc	magnitudes	fractal_dimensions	mining_activity	location_quality	rel_error_hor	rel_error_ver
80	2012-05-05 21:14:13.153026+00:00	871	38.9037	29.1344	0.625	10.1313	11.6444	117.63			False	0		
81	2012-05-05 21:14:31.926286+00:00	1071	39.9284	29.849	3.07292	45.5278	5.00603	25.6627			False	0		
82	2012-05-05 23:44:33.355226+00:00	473	38.8492	29.3072	0.625	11.8599	11.4566	111.937			False	0		
83	2012-05-05 23:44:52.050932+00:00	16	39.9424	29.8416	4.01042	6.4885	2.38722	26.9518		0.110717	False	1		
84	2012-05-06 00:14:28.209976+00:00	130	38.7934	29.3366	1.04167	13.2634	10.4019	128.422			False	0		
85	2012-05-06 00:14:46.257969+00:00	15	39.8933	29.8347	0.989583	10.1042	2.23394	26.8025			False	0		
86	2012-05-06 00:14:49.696900+00:00	2510	40.0408	29.9504	10.0521	9.11443	2.74467	33.7786	1.56226	0.11505	False	1		
87	2012-05-06 01:45:43.819747+00:00	924	38.8767	29.2495	1.45833	10.9794	11.536	115.435			False	0		
88	2012-05-06 01:46:01.754393+00:00	1418	39.9213	29.8418	0.989583	5.66611	2.16195	30.3749		0.0994881	False	1		
89	2012-05-06 01:46:05.098536+00:00	923	40.0759	29.9429	11.5104	7.78902	3.03655	32.8608		0.104657	False	1		
90	2012-05-06 04:04:17.794393+00:00	1418	39.9213	29.8418	0.989583	5.66611	2.16195	30.3749		0.0994881	False	1		
91	2012-05-06 04:04:21.559134+00:00	1286	40.0899	29.9648	10.0521	9.44151	2.60672	33.5888	0.902457	0.126267	False	1		
92	2012-05-06 05:42:25.975105+00:00	42	38.9594	27.9459	0.052083	7.7843	2.18171	175.366			False	1		
93	2012-05-06 05:42:29.455806+00:00	41	39.3974	27.9349	0.104167	25.0408	4.92867	178.247			False	0		
94	2012-05-06 07:04:48.238798+00:00	1005	40.2109	29.9916	0.703125	1.87441	1.22734	20.0668			True	2		
95	2012-05-06 07:04:50.114921+00:00	1011	40.2733	30.0883	2.122	4.35136	1.02303	45.624			True	2		
96	2012-05-06 07:43:47.914393+00:00	1418	39.9213	29.8418	0.989583	5.66611	2.16195	30.3749		0.0994881	False	1		
97	2012-05-06 08:09:19.381958+00:00	314	40.0198	29.9578	11.5104	6.72972	2.44877	39.9872	1.0123	0.101753	False	1		
98	2012-05-06 08:36:54.745586+00:00	479	38.876	29.1636	2.70833	10.7815	11.4785	116.912			False	0		
99	2012-05-06 08:37:13.123971+00:00	439	39.9073	29.8419	4.01042	51.8269	5.65938	24.0164			False	0		
100	2012-05-06 09:08:41.375479+00:00	39	38.876	29.1636	0.208333	9.35122	11.6011	116.281			False	0		
101	2012-05-06 09:09:02.363395+00:00	190	40.0127	29.9141	11.0938	8.09665	3.34837	33.2638		0.101293	False	1		
102	2012-05-06 09:45:57.322088+00:00	3799	39.9354	29.8562	4.01042	8.10423	3.66512	36.5241		0.105363	False	1		
