Date        Time      Latit(N)	Long(E) Depth(km)  ML 
16.03.2013  09:33:42  40.6347	 30.3143   5.5       0.9
17.03.2013  08:00:18  40.1783	 29.9388   3.7       1.1
17.03.2013  15:50:37  40.1875	 30.0075   2.0       0.7
17.03.2013  18:11:09  40.6262	 30.6028   6.5       0.5
18.03.2013  00:31:49  40.6627	 30.6885   11.8      0.9
18.03.2013  11:13:15  40.5432	 30.1175   6.4       0.7
18.03.2013  17:18:32  40.6275	 30.5587   9.6       0.7
19.03.2013  03:49:01  40.6707	 30.6347   14.1      0.8
19.03.2013  09:11:20  40.1293	 29.9915   11.4      1.3
19.03.2013  11:38:12  40.4173	 30.0055   4.6       1.0
19.03.2013  14:52:00  40.2707	 29.9877   7.6       0.9
20.03.2013  05:20:59  40.1710	 30.3497   1.2       0.5
20.03.2013  11:38:03  40.7365	 30.6788   4.1       1.3
20.03.2013  14:04:31  40.2850	 30.0090   8.1       1.2
22.03.2013  03:28:31  40.9222	 29.8607   6.1       1.4
22.03.2013  11:32:36  40.1315	 29.9915   7.0       1.3
23.03.2013  03:54:53  40.8758	 30.2475   3.8       0.8
23.03.2013  06:12:06  40.1387	 29.9855   9.9       1.3
23.03.2013  18:59:13  40.7420	 30.7920   5.2       1.0
24.03.2013  04:16:25  40.1897	 29.7422   8.4       1.0
24.03.2013  12:00:57  40.5747	 30.5402   3.8       0.6
24.03.2013  15:20:55  40.7530	 30.2827   11.8      0.6
24.03.2013  16:20:46  40.6847	 30.6923   5.7       0.7
25.03.2013  12:36:12  40.1803	 29.9443   3.5       1.1
25.03.2013  15:27:00  40.1472	 30.1832   9.2       0.7
25.03.2013  15:58:59  40.8270	 30.5018   4.1       1.5
25.03.2013  23:28:43  40.7092	 30.3200   8.8       0.5
26.03.2013  01:08:02  40.6882	 30.4010   4.5       0.8
26.03.2013  01:09:44  40.6843	 30.3953   6.8       0.6
26.03.2013  03:28:36  40.7530	 30.2723   11.8      0.9
26.03.2013  10:39:56  40.9150	 30.5405   10.5      0.9
26.03.2013  12:58:46  40.4198	 30.0032   5.0       1.3
26.03.2013  14:36:32  40.7033	 30.1702   4.0       0.4
26.03.2013  14:48:22  40.2905	 29.9913   4.9       1.0
26.03.2013  16:03:47  40.1552	 30.1690   1.8       0.6
26.03.2013  16:52:33  40.5890	 30.3500   5.5       1.0
26.03.2013  16:52:59  40.5928	 30.3537   1.1       0.6
26.03.2013  17:03:39  40.5872	 30.3507   7.0       1.3
27.03.2013  07:52:13  40.1323	 30.4188   10.8      0.5
27.03.2013  08:02:29  40.1300	 29.9910   10.8      1.4
27.03.2013  08:27:02  40.1573	 29.9253   14.3      1.3
27.03.2013  19:45:22  40.7088	 30.0240   10.1      0.6
27.03.2013  21:18:06  40.6905	 30.3717   7.6       0.6
28.03.2013  06:02:18  40.7835	 30.9053   9.5       1.9
28.03.2013  11:04:07  40.6963	 30.2952   4.3       0.8
28.03.2013  11:04:26  40.6982	 30.2987   7.0       0.3
28.03.2013  13:07:55  40.2287	 29.9450   1.3       1.0
28.03.2013  16:16:27  40.5938	 29.8198   5.3       1.5
29.03.2013  16:11:36  40.4008	 30.1320   5.1       0.3
29.03.2013  22:35:52  40.6913	 30.3782   7.8       0.4
29.03.2013  22:42:20  40.3330	 30.6230   2.2       0.5
29.03.2013  22:54:09  40.7850	 30.9030   7.9       2.9
30.03.2013  02:42:00  40.7150	 30.1412   7.3       0.4
30.03.2013  04:50:35  40.1742	 29.9358   8.4       0.7
30.03.2013  09:15:06  40.1297	 30.0137   4.7       1.1
30.03.2013  15:46:54  40.2357	 29.9782   2.0       1.6
30.03.2013  15:55:19  40.2765	 30.0132   8.0       1.7
30.03.2013  16:17:46  40.5908	 29.7742   4.4       1.6
30.03.2013  18:53:56  40.1563	 29.9485   6.0       1.2
31.03.2013  02:59:12  40.1855	 29.9163   6.0       0.9
31.03.2013  05:04:43  40.4015	 30.1628   4.9       0.6
31.03.2013  08:26:49  40.1585	 29.9373   9.6       1.4
31.03.2013  11:39:16  40.1485	 30.0362   8.0       1.3
31.03.2013  20:00:18  40.6767	 30.5642   12.2      1.1
01.04.2013  02:25:30  40.6413	 30.5237   6.7       1.2
01.04.2013  02:34:02  40.6485	 30.4865   11.3      0.3
01.04.2013  02:46:32  40.6478	 30.5148   7.9       0.4
01.04.2013  13:02:31  40.9315	 29.7567   8.3       1.3
01.04.2013  22:36:25  40.9357	 30.4865   6.1       1.6
03.04.2013  08:48:00  40.6655	 30.0627   5.5       0.8
03.04.2013  11:24:32  40.5467	 30.0988   6.0       0.9
03.04.2013  11:43:49  40.6290	 30.5845   11.0      0.6
04.04.2013  08:32:32  40.9237	 29.7032   12.8      1.4
04.04.2013  16:31:23  40.7343	 30.1798   11.7      0.6
05.04.2013  00:22:23  40.7287	 30.1912   12.8      0.2
05.04.2013  09:30:19  40.9010	 29.7237   9.6       1.4
05.04.2013  11:52:19  40.4093	 30.0098   3.2       1.0
05.04.2013  15:44:32  40.5945	 29.7780   7.8       1.7
05.04.2013  17:35:47  40.4743	 30.1357   6.1       0.5
05.04.2013  19:40:04  40.7287	 30.1853   12.3      0.4
06.04.2013  06:35:39  40.2540	 30.0017   7.0       0.7
06.04.2013  09:12:26  40.5940	 29.7748   5.3       1.1
06.04.2013  10:49:58  40.9450	 30.5143   3.0       1.2
07.04.2013  06:58:57  40.6922	 30.5877   12.5      0.7
07.04.2013  10:28:15  40.7300	 30.1707   11.4      0.3
08.04.2013  23:00:49  40.2627	 30.8013   5.7       1.3
09.04.2013  07:26:34  40.1573	 29.9260   6.0       1.4
10.04.2013  05:55:23  40.2470	 29.8425   13.1      0.7
10.04.2013  11:38:53  40.2377	 30.1865   3.3       0.6
10.04.2013  21:16:12  40.3780	 30.1058   1.3       1.0
11.04.2013  15:27:00  40.5932	 29.7758   4.4       1.6
12.04.2013  08:26:02  40.1455	 30.0083   8.0       1.0
12.04.2013  09:12:25  40.2002	 29.9397   11.9      0.7
12.04.2013  11:04:42  40.7937	 30.8748   5.1       1.3
12.04.2013  11:11:03  40.2458	 30.1918   4.5       0.9
12.04.2013  13:48:47  40.6220	 30.4548   6.0       1.1
12.04.2013  15:06:29  40.9558	 30.5548   5.8       1.4
12.04.2013  18:35:18  40.7553	 30.2807   11.9      0.9
12.04.2013  18:37:05  40.7518	 30.2873   12.6      0.4
12.04.2013  18:56:53  40.7550	 30.2842   11.2      0.9
12.04.2013  18:57:29  40.7553	 30.2917   11.5      0.7
13.04.2013  06:38:02  40.1943	 29.9028   5.5       0.7
13.04.2013  07:33:48  40.5195	 30.4833   6.9       1.9
13.04.2013  13:06:19  40.4060	 30.0240   8.7       1.2
13.04.2013  13:42:11  40.4145	 30.0138   5.6       1.1
14.04.2013  11:45:08  40.1560	 30.0203   5.0       1.7
14.04.2013  15:04:35  40.5918	 29.7720   9.2       1.3
14.04.2013  18:17:24  40.7340	 30.1842   12.4      0.9
16.04.2013  09:38:29  40.9582	 29.7267   2.0       1.4
16.04.2013  12:40:54  40.2437	 30.1935   3.5       0.7
16.04.2013  13:06:08  41.0028	 30.5967   6.0       1.4
16.04.2013  15:39:26  40.5870	 29.7647   8.0       1.3
16.04.2013  19:33:43  40.5535	 30.6512   8.5       0.4
17.04.2013  15:21:31  40.5992	 29.7707   6.7       1.2
17.04.2013  16:19:16  40.9315	 30.5137   7.1       0.7
17.04.2013  17:59:34  40.6262	 30.4650   6.0       0.6
18.04.2013  08:20:45  40.1675	 29.9522   5.6       1.0
18.04.2013  15:12:25  40.5805	 29.7758   2.2       0.8
18.04.2013  19:47:04  40.4563	 30.0417   6.1       0.7
18.04.2013  21:03:36  40.6567	 30.4893   5.5       0.1
19.04.2013  02:18:25  40.4670	 30.0358   3.9       0.2
19.04.2013  11:11:01  40.5423	 30.0988   8.2       0.5
19.04.2013  19:26:41  40.4617	 30.4188   2.7       1.0
20.04.2013  07:50:29  40.4598	 30.4095   2.7       0.5
20.04.2013  13:26:50  40.2573	 29.9475   1.6       0.7
20.04.2013  15:05:05  40.8855	 30.4045   1.0       0.8
20.04.2013  21:25:19  40.7202	 30.1773   4.9       0.4
21.04.2013  08:13:00  40.1377	 30.0287   7.5       1.1
21.04.2013  16:05:59  40.1788	 30.0372   3.5       0.2
22.04.2013  07:36:44  40.5335	 30.0793   6.5       0.5
22.04.2013  08:37:15  40.6163	 30.4745   3.0       0.3
22.04.2013  10:43:52  40.9467	 30.5673   3.4       0.8
22.04.2013  19:58:23  40.7060	 30.2867   4.6       0.3
22.04.2013  21:51:37  40.8825	 30.0622   19.3      0.5
23.04.2013  00:14:07  40.7328	 31.2973   7.0       2.1
23.04.2013  15:19:56  40.7585	 30.3835   6.3       3.2
23.04.2013  15:30:52  40.5845	 29.7740   2.0       1.2
23.04.2013  16:24:08  40.7520	 30.3823   7.0       0.4
24.04.2013  06:34:48  40.7185	 30.4702   13.7      1.3
24.04.2013  12:18:31  40.8780	 29.7290   11.6      1.2
24.04.2013  16:37:24  40.6108	 30.3780   3.6       0.8
24.04.2013  16:39:08  40.6438	 30.3597   5.3       0.7
24.04.2013  18:06:43  40.7520	 30.2903   8.3       0.4
25.04.2013  10:32:32  40.6275	 30.4585   6.1       0.8
25.04.2013  10:39:23  40.0415	 30.2810   4.6       1.6
25.04.2013  13:32:47  40.1787	 29.9412   11.4      1.0
26.04.2013  00:23:30  40.6468	 30.0422   1.9       0.4
26.04.2013  15:20:08  40.5850	 29.7583   9.0       1.2
26.04.2013  21:51:24  40.4958	 30.4140   8.3       0.3
27.04.2013  03:42:41  40.6452	 29.9765   1.5       1.6
27.04.2013  15:27:36  40.5955	 29.7643   4.8       1.2
27.04.2013  16:49:53  40.4140	 30.1418   7.9       0.3
28.04.2013  11:47:10  40.2660	 29.8370   8.8       0.8
28.04.2013  15:17:51  40.5852	 29.7620   9.8       0.9
28.04.2013  18:47:30  40.2057	 30.0127   1.9       0.8
28.04.2013  18:53:59  40.7383	 30.9627   4.3       0.9
28.04.2013  23:34:25  40.3195	 29.8813   5.5       0.4
29.04.2013  01:05:40  40.4700	 30.5375   7.9       0.4
29.04.2013  10:25:51  40.5748	 30.3038   1.8       0.5
30.04.2013  04:29:53  40.1562	 30.3812   7.2       0.4
30.04.2013  15:12:21  40.9330	 30.6130   2.0       1.0
01.05.2013  11:56:52  40.5912	 30.3043   1.2       1.5
01.05.2013  09:22:13  40.1417	 30.1978   8.7       1.5
01.05.2013  13:49:11  40.7628	 30.9500   15.9      0.9
01.05.2013  15:17:56  40.5828	 29.7633   6.8       1.0
02.05.2013  06:09:44  40.2335	 29.9333   5.3       0.5
02.05.2013  15:20:14  40.4835	 30.3397   5.0       0.5
02.05.2013  16:31:22  40.5430	 30.4135   11.1      0.5
03.05.2013  04:53:36  40.4492	 30.0920   6.2       0.5
03.05.2013  10:30:08  40.8823	 30.4318   1.9       1.3
03.05.2013  11:04:23  40.2415	 30.1763   1.4       0.5
03.05.2013  15:33:26  40.5932	 29.7510   9.4       1.4
04.05.2013  05:11:21  40.7620	 30.3920   7.1       0.4
04.05.2013  20:56:38  40.1515	 29.9638   1.2       1.3
05.05.2013  02:27:08  40.6848	 30.2962   13.4      0.3
05.05.2013  05:08:12  40.3772	 30.7072   8.6       0.6
05.05.2013  19:42:28  40.4580	 30.0395   3.2       0.4
06.05.2013  04:22:42  40.5485	 30.5417   3.7       0.1
06.05.2013  05:30:00  40.3592	 30.7405   2.4       0.6
06.05.2013  10:04:50  40.7495	 29.7942   9.7       0.9
06.05.2013  11:50:45  40.9363	 29.7285   8.7       1.4
06.05.2013  11:53:21  40.9573	 30.5477   3.0       0.9
06.05.2013  15:18:23  40.5855	 29.8855   7.3       0.9
07.05.2013  12:55:45  40.2638	 30.0087   6.7       0.8
07.05.2013  15:29:52  40.5837	 29.7602   5.2       1.3
08.05.2013  15:28:13  40.5800	 29.7720   8.7       1.0
09.05.2013  02:09:12  40.4002	 30.0640   7.6       0.3
09.05.2013  03:52:56  40.5782	 30.5422   3.2       2.1
09.05.2013  10:12:34  40.5525	 30.1672   4.0       0.6
09.05.2013  10:17:47  40.2522	 30.0520   2.7       1.1
09.05.2013  15:12:50  40.5513	 30.5062   4.5       0.4
09.05.2013  18:03:35  40.6635	 30.2467   2.8       0.6
10.05.2013  09:56:22  40.6615	 30.0813   5.5       0.9
10.05.2013  16:17:18  40.5728	 30.5538   1.9       0.6
11.05.2013  04:36:56  40.5910	 30.5460   3.9       0.5
11.05.2013  13:17:28  40.9710	 30.6043   3.4       1.1
11.05.2013  15:22:23  40.8107	 31.0570   1.6       2.5
11.05.2013  16:07:46  40.8110	 31.0322   4.4       2.4
12.05.2013  03:19:46  40.4480	 29.9550   8.1       0.8
12.05.2013  03:52:17  40.4642	 29.9965   11.1      0.5
12.05.2013  09:59:23  40.6402	 30.5608   3.4       0.8
12.05.2013  15:09:15  40.5895	 29.8887   5.6       0.7
12.05.2013  16:26:39  40.5397	 30.6550   12.7      0.4
12.05.2013  16:43:24  40.6652	 30.3772   10.3      1.1
12.05.2013  16:59:26  40.6055	 30.5755   7.0       0.9
13.05.2013  17:51:43  40.3162	 29.9223   8.4       0.3
15.05.2013  02:34:29  40.6683	 29.8642   3.9       0.3
15.05.2013  07:11:48  40.7080	 30.6047   11.4      0.5
15.05.2013  15:17:52  40.5833	 29.7320   7.9       0.9
15.05.2013  22:19:01  40.7792	 30.9728   2.0       1.0
15.05.2013  23:41:10  40.6837	 30.6578   8.4       1.0
16.05.2013  10:59:18  40.2422	 30.1975   5.5       1.6
16.05.2013  15:30:31  40.6000	 29.8365   11.6      1.1
17.05.2013  10:22:45  40.1442	 30.0027   12.9      1.0
18.05.2013  01:39:18  40.9273	 30.2395   2.8       0.4
18.05.2013  10:57:22  40.6480	 30.3222   4.6       0.9
18.05.2013  13:39:08  40.9452	 30.3872   11.1      1.3
18.05.2013  15:47:38  40.4288	 30.0723   9.9       1.6
20.05.2013  05:20:50  40.1518	 30.3230   13.2      1.1
20.05.2013  06:20:29  40.6808	 30.5125   7.0       2.4
20.05.2013  06:28:01  40.6680	 30.4740   6.6       0.9
20.05.2013  16:28:47  40.4847	 30.1347   7.9       0.7
20.05.2013  17:06:28  40.3737	 30.0683   3.1       1.2
20.05.2013  19:42:00  40.5220	 30.5473   12.3      1.3
20.05.2013  20:24:26  40.5095	 30.5502   8.8       0.7
20.05.2013  21:15:08  40.5297	 30.5517   8.5       1.0
21.05.2013  08:48:22  40.6565	 30.3347   7.9       1.0
21.05.2013  13:12:28  40.1528	 30.0088   8.0       1.5
22.05.2013  02:04:16  40.6528	 30.0048   4.9       1.1
22.05.2013  15:05:59  40.5823	 29.7600   10.0      1.5
22.05.2013  16:54:46  40.3857	 30.4793   5.0       1.1
22.05.2013  17:08:59  40.3720	 30.4827   3.8       0.8
22.05.2013  20:01:56  40.7098	 30.6380   11.6      1.4
22.05.2013  22:38:47  40.6920	 30.6503   9.4       2.0
23.05.2013  00:13:10  40.7290	 30.6380   12.2      1.4
23.05.2013  10:18:32  40.8875	 30.4108   5.6       1.4
23.05.2013  12:20:55  40.4453	 30.0585   3.0       1.6
24.05.2013  10:07:50  40.4323	 30.0405   8.2       1.4
24.05.2013  11:48:29  40.2448	 30.1975   2.8       1.6
24.05.2013  13:16:26  40.8837	 30.4253   7.3       1.8
25.05.2013  02:12:09  40.4797	 30.3828   7.5       0.5
25.05.2013  22:57:47  40.6688	 30.6848   15.6      1.3
26.05.2013  14:03:15  40.8328	 30.4238   9.5       2.0
27.05.2013  06:38:30  40.6857	 30.4185   6.6       1.9
30.05.2013  14:48:14  41.0258	 30.0957   9.0       1.4
31.05.2013  16:54:59  40.7043	 30.8032   6.0       1.6
01.06.2013  02:05:24  40.7045	 30.6268   15.7      1.0
01.06.2013  14:17:28  40.4210	 30.0272   9.1       1.8
01.06.2013  15:28:58  40.6072	 29.8653   16.4      1.4
02.06.2013  22:43:31  40.6633	 30.4858   3.1       1.7
02.06.2013  22:58:03  40.7145	 30.1445   8.0       2.0
07.06.2013  11:29:42  40.3783	 30.1037   6.7       1.4
07.06.2013  15:42:19  40.9905	 30.0988   10.5      1.0
07.06.2013  18:04:58  40.6867	 30.1683   16.3      0.7
07.06.2013  20:16:06  40.7153	 30.1662   4.8       0.9
08.06.2013  10:08:33  40.6303	 30.3262   5.5       0.9
08.06.2013  12:08:55  40.6853	 30.5372   13.9      2.3
08.06.2013  21:56:59  40.4975	 30.4025   8.2       0.4
09.06.2013  17:08:35  40.2338	 30.0710   4.9       1.5
10.06.2013  09:33:39  40.6270	 30.4432   3.5       0.8
10.06.2013  14:56:43  40.5852	 29.7550   7.0       1.9
11.06.2013  03:47:31  40.6283	 30.5285   13.4      1.0
11.06.2013  04:37:28  40.7167	 30.1780   6.7       0.7
11.06.2013  15:22:08  40.6393	 29.7278   5.1       1.3
12.06.2013  11:57:22  40.4255	 30.0575   4.2       1.9
12.06.2013  19:08:47  40.6957	 30.3250   6.0       1.0
14.06.2013  10:58:40  40.6443	 30.3357   5.5       0.8
15.06.2013  00:14:27  41.0003	 30.3117   11.2      0.4
15.06.2013  00:55:01  40.7367	 30.1947   12.6      1.1
15.06.2013  15:04:57  40.5928	 29.8472   11.4      1.9
16.06.2013  14:17:43  40.5975	 30.1917   9.7       0.7
17.06.2013  06:24:41  40.7210	 30.2492   6.9       0.7
17.06.2013  14:32:18  40.4608	 30.3150   5.6       0.6
18.06.2013  08:12:59  40.6948	 30.3525   10.3      0.9
18.06.2013  09:08:21  40.6853	 30.1007   3.5       1.1
19.06.2013  13:27:36  40.2105	 29.9555   11.1      1.3
20.06.2013  04:47:47  40.5310	 30.5055   3.1       0.9
20.06.2013  04:50:12  40.5322	 30.5513   7.0       0.5
20.06.2013  11:46:34  40.5897	 30.4315   3.5       1.1
20.06.2013  12:25:44  40.4040	 30.0022   8.2       1.3
20.06.2013  15:09:47  40.5838	 29.7902   5.2       1.7
21.06.2013  02:17:01  40.5140	 30.4422   9.8       1.1
21.06.2013  13:48:33  39.8945	 29.9898   1.9       2.1
21.06.2013  14:59:11  40.4790	 30.3538   11.7      1.1
21.06.2013  16:23:28  40.1048	 30.0775   4.5       2.0
22.06.2013  10:22:54  40.2477	 29.9015   6.0       1.2
22.06.2013  13:28:25  40.8620	 30.4860   5.8       1.6
22.06.2013  16:01:28  40.1220	 30.1672   6.0       1.2
22.06.2013  20:09:46  40.6985	 30.6412   13.0      1.2
22.06.2013  21:23:53  40.3795	 30.1452   6.1       0.7
23.06.2013  00:35:35  40.7128	 30.5957   8.1       0.8
23.06.2013  02:27:13  40.6972	 30.6692   15.9      1.5
23.06.2013  10:55:05  40.7022	 30.6505   13.1      1.2
24.06.2013  00:42:02  40.7020	 30.5845   9.5       0.8
24.06.2013  09:25:07  40.8263	 30.5213   3.2       1.5
24.06.2013  15:11:04  40.8488	 30.4577   3.3       1.4
24.06.2013  16:17:01  40.9647	 30.6123   4.3       1.5
24.06.2013  21:23:35  40.6493	 30.6658   5.6       1.2
26.06.2013  08:27:20  40.7057	 30.5812   15.0      1.4
26.06.2013  12:57:45  40.8810	 30.4693   2.8       1.6
26.06.2013  17:16:58  40.7148	 30.6242   9.8       1.7
26.06.2013  17:31:31  40.7167	 30.5888   3.4       1.6
27.06.2013  17:44:14  40.5342	 30.5822   9.4       1.1
28.06.2013  14:00:12  40.1343	 30.1043   5.5       1.8
28.06.2013  16:10:53  40.9070	 30.6482   5.2       1.7
29.06.2013  10:53:19  40.8807	 30.6417   5.0       1.6
29.06.2013  11:33:05  40.6135	 30.3012   6.0       1.0
29.06.2013  16:47:38  40.8903	 30.9192   9.3       2.1
30.06.2013  02:53:56  40.6825	 30.6687   12.0      1.8
30.06.2013  03:22:06  40.6775	 30.6133   6.5       3.3
30.06.2013  07:54:48  40.5150	 30.5087   14.3      1.1
01.07.2013  12:38:15  40.4030	 29.9660   2.4       1.6
01.07.2013  13:24:24  40.4147	 30.0042   8.0       1.5
02.07.2013  01:45:09  40.7862	 30.7217   6.6       2.1
03.07.2013  09:18:23  40.6915	 30.1167   4.5       1.0
03.07.2013  15:10:59  40.9657	 30.5987   8.0       1.3
04.07.2013  15:53:22  40.5535	 29.7162   7.9       1.4
05.07.2013  06:33:36  40.7112	 30.3517   7.7       0.7
05.07.2013  12:56:15  40.6373	 30.4473   5.3       1.3
05.07.2013  14:52:36  40.8643	 30.4412   9.5       1.3
05.07.2013  17:59:41  40.6815	 30.3960   7.2       0.8
05.07.2013  21:48:52  40.3888	 30.1472   7.4       0.7
06.07.2013  01:22:45  40.7052	 30.3602   11.2      1.6
06.07.2013  08:56:22  40.8190	 30.3972   5.5       1.2
07.07.2013  06:07:09  40.7182	 30.4322   13.6      1.0
08.07.2013  03:14:35  40.7388	 30.2552   4.9       0.9
08.07.2013  16:24:59  40.7287	 30.7983   2.8       1.5
09.07.2013  11:17:27  40.8540	 30.4513   7.0       1.1
09.07.2013  12:30:17  40.8575	 30.4435   4.7       1.6
10.07.2013  06:43:27  40.7763	 30.9325   8.1       1.6
11.07.2013  03:11:59  40.6713	 30.7060   5.2       1.2
11.07.2013  11:18:59  40.2967	 29.9887   3.9       1.3
12.07.2013  02:03:19  40.4245	 30.2687   6.8       1.5
12.07.2013  13:22:42  40.7218	 30.1335   4.6       1.1
13.07.2013  08:52:34  40.7928	 30.4415   11.0      1.2
13.07.2013  23:20:29  40.7078	 30.3098   7.3       0.5
14.07.2013  15:31:25  40.1073	 30.0833   13.8      1.6
15.07.2013  02:05:21  40.8545	 30.8767   8.0       1.8
15.07.2013  15:53:59  40.7065	 30.8100   10.4      1.4
15.07.2013  19:32:02  40.6442	 30.3767   4.9       1.7
16.07.2013  00:22:31  40.6827	 30.6465   14.2      1.6
16.07.2013  11:02:42  40.8687	 30.4452   5.5       1.2
16.07.2013  12:33:40  40.4250	 30.0053   3.3       1.1
16.07.2013  14:57:07  40.6953	 30.0873   4.8       1.1
17.07.2013  12:29:09  40.5268	 30.8445   8.2       1.7
17.07.2013  12:48:20  40.8818	 30.4917   8.6       1.6
17.07.2013  13:47:31  40.6992	 30.6068   5.5       1.2
17.07.2013  14:25:18  40.7195	 30.6073   3.3       1.4
17.07.2013  14:42:50  40.6790	 30.6167   7.1       1.8
18.07.2013  03:32:39  40.6865	 30.6610   12.3      1.5
18.07.2013  11:58:45  40.6443	 30.3382   5.1       1.2
18.07.2013  12:10:52  40.2433	 30.1950   4.8       1.1
18.07.2013  13:59:25  40.8842	 30.5077   5.5       1.2
18.07.2013  14:43:57  40.7075	 30.8150   19.6      1.6
18.07.2013  15:37:03  40.5797	 29.7622   2.2       1.8
19.07.2013  11:18:24  40.7483	 30.1440   7.0       1.6
19.07.2013  12:23:59  40.4660	 30.9482   3.3       2.0
20.07.2013  12:29:34  40.8747	 30.4315   7.0       1.9
20.07.2013  14:09:51  40.0915	 30.0970   2.9       2.1
20.07.2013  15:51:11  40.5935	 29.7373   11.7      1.5
21.07.2013  03:33:53  40.7552	 30.1822   10.8      0.8
22.07.2013  07:39:55  40.6862	 30.6495   15.1      1.6
22.07.2013  15:02:44  40.5807	 29.8412   14.8      1.5
22.07.2013  17:51:21  40.7152	 30.3187   2.7       1.2
22.07.2013  21:01:23  40.7068	 30.3210   3.9       1.1
23.07.2013  03:17:30  40.6620	 30.1972   6.0       0.2
23.07.2013  05:55:27  40.6340	 30.6158   8.2       0.9
24.07.2013  10:28:23  40.6975	 30.3318   6.1       0.7
24.07.2013  19:25:30  40.7533	 30.2610   6.4       1.3
25.07.2013  03:34:34  40.7007	 30.1992   1.9       0.2
25.07.2013  19:59:06  40.7252	 30.1080   1.7       0.2
26.07.2013  15:06:50  40.6007	 29.7767   2.0       1.2
26.07.2013  21:18:26  40.3408	 30.0023   3.6       0.3
26.07.2013  21:50:08  40.7135	 30.2952   6.1       0.2
26.07.2013  23:46:53  40.6640	 30.3480   5.6       0.2
27.07.2013  19:08:46  40.7215	 30.1908   8.6       0.2
28.07.2013  13:21:10  40.8455	 31.0225   10.8      1.3
28.07.2013  16:41:51  40.5768	 30.8257   2.7       1.4
29.07.2013  00:32:13  40.7013	 30.6400   1.7       0.5
29.07.2013  02:53:58  40.6487	 30.6462   8.0       0.6
30.07.2013  05:16:06  40.6777	 30.3653   14.1      0.4
30.07.2013  11:43:27  40.5553	 30.8165   1.4       1.3
30.07.2013  13:55:14  41.1405	 30.6662   1.1       1.7
30.07.2013  15:01:59  40.5917	 29.8547   3.0       1.1
31.07.2013  15:04:17  40.5822	 29.7625   6.5       1.2
31.07.2013  15:32:31  41.0655	 30.0407   5.9       1.4
31.07.2013  15:56:45  40.7010	 30.7820   4.8       0.8
01.08.2013  03:02:47  40.3928	 30.1433   8.3       0.2
01.08.2013  08:07:29  40.4997	 30.7183   8.2       1.3
01.08.2013  13:01:45  40.4380	 30.0313   3.2       0.7
02.08.2013  09:08:40  40.5232	 30.1030   4.8       0.3
02.08.2013  12:00:09  40.2505	 30.2295   5.5       1.2
02.08.2013  15:24:07  40.5848	 29.7388   9.2       1.2
03.08.2013  08:38:50  40.6775	 30.3363   3.9       0.4
03.08.2013  10:54:24  40.6128	 30.4748   4.8       0.6
03.08.2013  21:40:26  40.6725	 30.6275   10.6      0.5
04.08.2013  00:54:35  40.8158	 31.0175   1.9       1.0
04.08.2013  23:17:27  40.7400	 30.3618   4.6       0.3
05.08.2013  16:04:21  40.2073	 30.0595   5.8       1.1
06.08.2013  04:34:35  40.6715	 30.3395   10.0      0.5
06.08.2013  10:55:55  40.7403	 30.7545   8.5       1.1
07.08.2013  02:25:36  40.7430	 30.3967   12.4      0.6
07.08.2013  03:32:07  40.6898	 30.4942   9.9       0.1
08.08.2013  02:49:44  40.7128	 30.0568   2.7       1.6
08.08.2013  05:24:01  40.6348	 30.6170   7.0       0.5
08.08.2013  18:09:50  40.3485	 29.9685   2.7       0.7
09.08.2013  09:53:29  40.6597	 30.6790   7.5       0.9
10.08.2013  15:51:43  40.5975	 29.7945   4.8       1.1
11.08.2013  02:07:27  40.2600	 29.9878   2.8       0.4
11.08.2013  12:55:24  40.7250	 30.9958   2.0       1.1
11.08.2013  14:50:50  40.8233	 30.4028   3.9       0.7
12.08.2013  00:45:54  40.4875	 30.4532   8.2       0.3
12.08.2013  15:26:18  40.5448	 29.7920   7.6       0.8
12.08.2013  22:55:54  40.6623	 30.4155   9.2       0.2
14.08.2013  09:32:03  40.9397	 30.5520   11.5      0.7
14.08.2013  14:49:06  40.5882	 29.7600   7.0       1.2
14.08.2013  15:01:48  40.9472	 30.6083   9.6       1.1
14.08.2013  16:07:55  40.6410	 30.3663   2.0       0.8
14.08.2013  16:50:55  40.3890	 30.0737   4.2       0.6
16.08.2013  15:45:13  40.6540	 30.5167   4.8       0.8
17.08.2013  10:47:39  40.2410	 30.2345   3.0       0.8
18.08.2013  21:44:53  40.7885	 30.6377   7.0       0.5
19.08.2013  13:30:02  40.5315	 30.1325   4.4       1.9
19.08.2013  15:24:40  40.5632	 29.7982   7.1       1.0
20.08.2013  01:07:52  40.4560	 30.6818   1.3       0.5
20.08.2013  10:18:06  40.9728	 30.5808   4.9       1.4
21.08.2013  03:21:03  40.3737	 30.0163   8.1       0.3
22.08.2013  18:04:05  40.7042	 30.2062   6.0       0.4
22.08.2013  23:20:16  40.4503	 30.3838   2.5       0.2
23.08.2013  20:03:49  40.6850	 30.5542   4.0       0.4
24.08.2013  03:06:45  40.7055	 30.6697   3.2       0.4
24.08.2013  03:53:48  40.6745	 30.5808   3.7       0.6
24.08.2013  15:53:29  40.6252	 30.3527   11.0      0.3
25.08.2013  15:01:56  40.0622	 30.1000   8.6       1.1
25.08.2013  15:36:09  40.5948	 29.7712   4.7       1.1
25.08.2013  20:39:13  40.7692	 30.8057   3.5       0.7
