Date        Time      Latit(N)	Long(E) Depth(km)  ML 
17.06.2012  17:22:55  40.7550	 30.3125   5.5       0.9
17.06.2012  22:54:36  40.8395	 31.1762   6.6       2.1
18.06.2012  11:48:02  40.2160	 30.4418   6.0       0.7
19.06.2012  05:05:37  40.6897	 30.1752   1.6       0.7
19.06.2012  09:44:05  40.7190	 30.0283   7.0       0.7
19.06.2012  15:19:36  40.5433	 30.5252   4.0       0.4
19.06.2012  16:28:34  40.4733	 30.3320   5.5       2.1
20.06.2012  04:12:52  40.4940	 30.6413   2.0       0.4
20.06.2012  05:28:04  40.3550	 29.9185   12.1      0.5
20.06.2012  05:59:47  40.4993	 30.4855   10.7      0.1
20.06.2012  08:16:21  40.4013	 30.0735   5.6       0.8
21.06.2012  03:23:42  40.6767	 30.1792   9.6       0.7
22.06.2012  01:57:55  39.8887	 30.6232   5.5       2.6
22.06.2012  09:54:55  40.6818	 30.1870   4.5       0.9
22.06.2012  16:07:27  40.5883	 30.3470   4.8       1.7
22.06.2012  16:46:34  40.7595	 30.4068   9.4       1.1
22.06.2012  20:35:39  40.6973	 30.5623   13.4      0.4
23.06.2012  06:41:01  40.1765	 29.9225   3.7       1.4
23.06.2012  07:47:49  40.5430	 30.5717   9.2       1.7
24.06.2012  05:41:54  40.5123	 30.4795   1.7       0.4
24.06.2012  15:08:24  40.2358	 30.0558   5.1       0.6
24.06.2012  19:24:55  40.8000	 30.2503   10.7      0.4
25.06.2012  02:02:29  40.5905	 30.6253   1.9       0.4
25.06.2012  03:47:28  40.7313	 29.9692   9.5       1.6
26.06.2012  07:31:19  40.5170	 30.5378   3.8       0.5
26.06.2012  09:33:35  40.2692	 29.7815   10.4      1.1
26.06.2012  10:32:31  40.9975	 31.1927   7.2       1.8
26.06.2012  13:39:27  40.4395	 30.0845   6.6       0.4
26.06.2012  14:32:53  40.4172	 30.0047   2.3       1.0
26.06.2012  21:14:00  40.7152	 30.6142   9.0       1.0
28.06.2012  11:18:29  40.9238	 29.7482   10.0      1.4
28.06.2012  17:46:07  40.4858	 30.1422   6.7       2.1
28.06.2012  22:50:56  40.4798	 30.1307   6.9       0.2
29.06.2012  14:34:44  40.6868	 30.6162   16.0      0.7
30.06.2012  04:40:27  40.6625	 30.6492   6.0       0.6
30.06.2012  13:46:39  40.2550	 29.9097   2.7       1.7
30.06.2012  15:42:57  40.8905	 30.3842   3.3       2.0
30.06.2012  17:37:15  40.1727	 30.1540   1.4       0.4
30.06.2012  20:31:42  40.3845	 30.1962   9.1       0.5
01.07.2012  01:47:49  40.5363	 30.6635   10.3      0.4
01.07.2012  06:06:30  40.7752	 30.8388   6.6       2.2
01.07.2012  06:09:13  40.7790	 30.8407   4.2       1.0
01.07.2012  06:10:21  40.7765	 30.8230   8.0       1.1
01.07.2012  06:11:17  40.7710	 30.8295   8.8       1.7
01.07.2012  10:38:58  40.3130	 30.0845   7.6       0.8
02.07.2012  02:32:14  40.6907	 30.7048   5.1       0.8
02.07.2012  22:39:07  40.3887	 30.6452   8.7       0.9
03.07.2012  01:35:30  40.3710	 30.6383   5.0       0.3
03.07.2012  11:24:55  40.5348	 30.5038   8.2       0.8
03.07.2012  13:50:59  40.2943	 30.0000   3.5       1.0
03.07.2012  13:52:06  40.4153	 29.9685   2.6       1.1
03.07.2012  14:29:56  40.9238	 29.7417   11.1      1.5
03.07.2012  15:19:11  40.2130	 29.9142   14.2      0.9
04.07.2012  08:30:31  40.4147	 30.0227   6.1       1.0
04.07.2012  11:27:17  40.1820	 29.9323   8.0       1.1
04.07.2012  17:10:58  40.9397	 30.5562   2.9       0.8
05.07.2012  05:34:32  40.5387	 30.5200   8.7       0.9
05.07.2012  15:31:06  40.6973	 30.3913   10.3      0.8
06.07.2012  02:14:16  40.3152	 30.0890   7.9       0.5
06.07.2012  06:45:45  40.1605	 29.9043   5.5       1.4
06.07.2012  07:20:24  40.4972	 30.3812   6.2       0.4
06.07.2012  12:11:50  40.9202	 29.7153   14.0      1.4
06.07.2012  16:45:49  40.3315	 30.1258   4.3       0.5
07.07.2012  06:56:02  40.7632	 30.3962   11.6      2.3
07.07.2012  07:07:46  40.7632	 30.3957   10.0      4.1
07.07.2012  07:11:07  40.7617	 30.4033   10.7      1.9
07.07.2012  07:14:25  40.7643	 30.3938   11.6      2.2
07.07.2012  07:24:34  40.7628	 30.3965   10.8      2.1
07.07.2012  07:34:43  40.7600	 30.3955   11.0      1.3
07.07.2012  08:17:35  40.7617	 30.3977   3.9       0.9
07.07.2012  08:35:09  40.2418	 30.0040   4.6       1.2
07.07.2012  08:48:43  40.7627	 30.4040   10.8      1.1
07.07.2012  09:20:12  40.7647	 30.3957   10.5      1.9
07.07.2012  10:41:34  40.7608	 30.3892   11.5      0.9
07.07.2012  20:10:52  40.5188	 30.5430   1.4       0.2
08.07.2012  00:46:14  40.5555	 30.5777   6.5       0.3
08.07.2012  06:16:43  40.5710	 30.0692   1.7       0.2
08.07.2012  15:33:33  40.7635	 30.3990   9.7       1.0
08.07.2012  18:46:43  40.2022	 30.4585   8.6       0.6
08.07.2012  20:21:04  40.8545	 31.0080   10.9      1.0
08.07.2012  23:47:37  40.7538	 30.3930   10.7      0.4
09.07.2012  02:21:28  40.2240	 30.1130   2.4       0.6
09.07.2012  13:15:47  40.8087	 31.3665   4.9       2.8
09.07.2012  14:49:58  40.8053	 31.4087   2.0       3.2
09.07.2012  14:55:14  40.8105	 31.4215   1.4       3.2
10.07.2012  05:08:10  40.7610	 30.3938   10.7      0.9
10.07.2012  09:13:43  40.4583	 30.0452   9.2       2.5
10.07.2012  12:13:22  40.2282	 29.9442   1.4       0.8
10.07.2012  12:40:30  40.0528	 30.2510   2.6       1.3
10.07.2012  14:09:01  40.2535	 29.9933   2.0       1.1
11.07.2012  01:44:09  40.4948	 30.6287   6.4       0.2
11.07.2012  13:45:58  40.5115	 30.6885   8.6       1.3
11.07.2012  15:11:54  40.0527	 30.1987   5.5       1.5
11.07.2012  21:32:49  40.8208	 31.3945   5.0       2.9
12.07.2012  01:51:48  40.6393	 30.5243   6.7       0.6
12.07.2012  11:07:26  40.5083	 30.5120   2.0       0.3
12.07.2012  13:10:41  40.4068	 29.9708   3.4       1.1
13.07.2012  07:58:26  40.1980	 29.9603   13.8      0.6
13.07.2012  15:15:00  40.2582	 30.0230   1.0       1.2
13.07.2012  15:35:25  40.2872	 30.0245   4.4       0.9
14.07.2012  07:43:35  40.4148	 30.0137   3.5       1.0
14.07.2012  23:47:52  40.6580	 30.5503   9.7       0.7
15.07.2012  00:54:01  40.6555	 30.6390   9.6       0.3
15.07.2012  17:35:04  40.7053	 30.6152   10.8      1.0
16.07.2012  06:55:58  40.1553	 30.3722   10.0      1.1
16.07.2012  07:41:59  40.7462	 30.7720   7.5       2.1
17.07.2012  14:50:22  41.0050	 31.1190   13.3      1.7
19.07.2012  06:17:19  40.1772	 30.0230   1.9       1.1
20.07.2012  08:53:55  40.4308	 30.4518   15.5      0.5
20.07.2012  12:35:35  40.8865	 30.4147   7.7       1.6
20.07.2012  13:35:12  40.5308	 31.0528   8.9       2.4
22.07.2012  08:17:01  40.4063	 30.0417   3.8       1.1
22.07.2012  15:00:28  40.8173	 30.4248   10.9      1.1
23.07.2012  12:38:23  40.4717	 30.0240   3.3       0.9
24.07.2012  11:28:15  40.5982	 30.4458   7.0       1.4
24.07.2012  13:24:55  40.4895	 30.1088   11.8      1.4
24.07.2012  15:47:18  40.4862	 30.2995   6.0       0.5
24.07.2012  15:57:09  40.4775	 30.2845   8.6       1.0
25.07.2012  02:27:45  40.7595	 30.7465   16.3      1.2
25.07.2012  11:53:49  40.4855	 30.5700   11.1      0.7
25.07.2012  12:30:06  40.9092	 30.4073   11.5      0.9
25.07.2012  19:43:02  40.7127	 30.3680   16.4      0.6
25.07.2012  20:10:12  40.7077	 30.3467   6.3       1.3
25.07.2012  20:12:20  40.7182	 30.3298   11.6      0.7
25.07.2012  20:17:32  40.7015	 30.3432   14.0      0.5
25.07.2012  20:24:35  40.7160	 30.3318   7.6       1.5
25.07.2012  20:27:40  40.7202	 30.3987   13.3      0.8
25.07.2012  20:31:46  40.7397	 30.3063   14.7      0.8
25.07.2012  21:20:30  40.6953	 30.4222   16.3      0.7
25.07.2012  21:24:59  40.7153	 30.3298   13.8      0.6
25.07.2012  21:53:30  40.7007	 30.4137   19.8      0.7
25.07.2012  22:02:50  40.7197	 30.3433   9.3       0.5
25.07.2012  22:07:45  40.7375	 30.3022   12.1      0.8
25.07.2012  22:16:15  40.7202	 30.3497   15.6      0.6
25.07.2012  22:19:38  40.7440	 30.3223   9.6       0.6
26.07.2012  01:10:22  40.7182	 30.3322   10.0      1.3
26.07.2012  01:15:53  40.7392	 30.3317   8.0       0.9
26.07.2012  01:26:53  40.1160	 30.0362   13.9      1.1
26.07.2012  03:00:38  40.7205	 30.3437   11.3      0.6
26.07.2012  08:08:25  40.6893	 30.2902   5.6       0.9
26.07.2012  10:07:23  40.7223	 30.3120   8.5       1.0
26.07.2012  13:48:32  40.7167	 30.3302   12.0      1.1
26.07.2012  13:53:31  40.7187	 30.3325   7.8       1.3
27.07.2012  12:07:26  40.4738	 30.3115   4.7       0.6
27.07.2012  13:45:22  40.4388	 30.0408   5.5       1.0
27.07.2012  14:11:08  40.8675	 30.4380   8.0       1.6
27.07.2012  17:17:56  40.7425	 30.4965   17.7      1.1
28.07.2012  02:56:53  40.7747	 30.4328   10.0      0.6
28.07.2012  07:32:37  40.4583	 30.0370   19.1      0.9
28.07.2012  13:30:01  40.4752	 30.3170   4.5       1.2
28.07.2012  13:59:49  40.8790	 30.4398   4.4       1.8
29.07.2012  02:54:39  40.7920	 30.8972   4.2       1.7
31.07.2012  10:47:12  40.9163	 30.4185   3.6       1.5
01.08.2012  00:44:35  40.6992	 30.4817   8.8       0.8
02.08.2012  07:05:53  40.2915	 30.3315   2.0       0.1
02.08.2012  12:02:16  40.4620	 30.4375   1.3       1.1
02.08.2012  12:45:54  40.5195	 30.4687   11.9      1.0
03.08.2012  06:19:33  40.7545	 30.2863   10.0      1.0
03.08.2012  11:43:13  40.8668	 30.4248   11.3      1.6
03.08.2012  13:21:08  40.4377	 30.0615   11.4      1.0
03.08.2012  19:30:21  40.4355	 29.9975   3.8       0.6
03.08.2012  21:40:01  40.7302	 30.5195   8.6       0.8
03.08.2012  23:28:38  40.7708	 30.4113   10.7      0.4
04.08.2012  01:36:44  40.7695	 30.4010   11.6      0.6
04.08.2012  12:57:35  40.1280	 30.0105   6.9       2.1
05.08.2012  18:07:54  40.9448	 30.5102   2.0       1.4
06.08.2012  14:25:14  40.4703	 30.2672   3.5       1.3
06.08.2012  14:39:03  40.7885	 30.4458   10.7      1.1
06.08.2012  16:31:39  40.9390	 30.6108   11.4      1.2
06.08.2012  23:53:53  40.5022	 30.5482   8.8       0.4
08.08.2012  09:04:47  40.7080	 30.0850   14.9      0.6
09.08.2012  08:57:51  40.4112	 29.9847   9.6       1.1
09.08.2012  10:18:45  40.2642	 30.3353   6.7       0.4
10.08.2012  12:43:25  40.5822	 29.9188   10.9      1.2
10.08.2012  13:04:08  40.6277	 30.4493   9.1       1.1
11.08.2012  11:18:39  40.3445	 30.0355   16.3      1.2
11.08.2012  13:43:36  40.7538	 30.4392   12.3      1.4
11.08.2012  14:48:39  40.4868	 30.2850   14.7      0.9
11.08.2012  17:30:29  40.7123	 30.4580   13.0      1.0
13.08.2012  07:10:08  40.1638	 29.9537   16.5      1.4
14.08.2012  01:09:41  40.7118	 30.3437   10.4      1.0
14.08.2012  11:04:08  40.4078	 30.0007   9.4       1.0
14.08.2012  11:39:04  40.3898	 29.9895   6.5       1.2
14.08.2012  12:27:01  40.6138	 30.4438   4.6       1.3
14.08.2012  14:05:29  40.5113	 30.1852   12.5      1.0
14.08.2012  14:58:03  40.7440	 30.4535   3.7       1.2
15.08.2012  00:42:18  40.6690	 30.5380   2.2       0.7
15.08.2012  00:42:53  40.6713	 30.5252   6.9       0.9
16.08.2012  08:38:33  40.8143	 30.4310   9.5       1.2
16.08.2012  11:09:01  40.6455	 30.4410   5.2       1.1
16.08.2012  11:50:02  40.2567	 29.9570   2.9       1.4
16.08.2012  16:22:54  41.0472	 30.6480   1.8       2.0
17.08.2012  08:03:23  40.7623	 30.3988   9.0       1.9
17.08.2012  09:57:36  40.4827	 30.3205   6.1       1.2
17.08.2012  14:08:34  40.7492	 30.3917   11.9      1.7
18.08.2012  01:10:59  40.7805	 30.6510   8.2       1.7
18.08.2012  10:02:27  40.7143	 30.4058   10.5      0.5
19.08.2012  00:19:31  40.7628	 30.4082   9.2       0.9
20.08.2012  05:07:23  40.7412	 30.3515   12.0      0.5
21.08.2012  03:44:56  40.7588	 30.8892   15.3      0.9
21.08.2012  11:11:12  40.6338	 30.2888   7.7       0.6
23.08.2012  09:06:32  40.4013	 30.0032   7.0       1.3
23.08.2012  13:09:19  40.4202	 30.0365   7.9       1.0
23.08.2012  20:22:18  40.7148	 30.1582   6.0       1.0
24.08.2012  15:23:42  40.7633	 30.4143   3.8       0.8
24.08.2012  15:32:29  40.5657	 30.1348   4.0       0.7
25.08.2012  10:53:06  40.4152	 30.0392   6.2       0.9
26.08.2012  14:51:15  40.0120	 30.5150   9.8       1.2
27.08.2012  10:34:16  40.3968	 30.2057   9.0       1.3
28.08.2012  09:13:06  40.4167	 30.0352   3.4       1.3
30.08.2012  09:54:50  40.6103	 30.1210   3.8       1.0
30.08.2012  10:35:39  40.4295	 30.0298   5.5       1.0
30.08.2012  13:02:37  40.6352	 30.4563   11.0      1.4
30.08.2012  13:14:45  40.3920	 29.9307   7.0       1.9
31.08.2012  19:41:27  40.6508	 30.4428   9.5       0.7
01.09.2012  08:24:56  40.4252	 30.0570   1.1       0.8
02.09.2012  20:45:36  40.6943	 30.6192   6.0       1.1
03.09.2012  14:55:00  40.3083	 30.2483   11.2      0.4
03.09.2012  20:53:11  40.3623	 29.9613   2.7       1.4
03.09.2012  21:25:15  40.3532	 29.9607   3.4       1.1
04.09.2012  13:25:31  40.2320	 29.9948   9.5       2.3
04.09.2012  16:47:02  40.9012	 30.8567   11.9      1.5
05.09.2012  09:59:56  40.7635	 30.4063   8.9       1.1
05.09.2012  10:06:30  40.0695	 30.2018   2.3       1.5
05.09.2012  21:18:49  40.2235	 30.4163   12.3      0.2
05.09.2012  23:10:39  40.8123	 30.8087   2.4       1.6
06.09.2012  03:44:56  39.8015	 30.1407   1.9       2.0
06.09.2012  08:48:59  40.4655	 30.0117   9.5       1.4
06.09.2012  11:10:56  40.6945	 30.6233   6.2       0.8
08.09.2012  01:54:25  40.7633	 30.4160   11.0      0.8
08.09.2012  19:25:59  40.8860	 30.3188   1.2       0.8
10.09.2012  01:55:10  40.6805	 30.6563   10.2      0.5
10.09.2012  04:01:28  40.7503	 30.6220   3.1       0.5
10.09.2012  22:49:15  40.7515	 31.2598   9.7       1.7
11.09.2012  13:00:46  40.3948	 29.9852   5.6       1.1
12.09.2012  13:40:14  40.2520	 30.0498   2.5       1.1
13.09.2012  09:11:11  40.7077	 30.6258   8.7       1.2
13.09.2012  10:40:21  40.1708	 29.9458   2.7       2.0
13.09.2012  15:39:16  40.6398	 30.4582   9.6       0.9
14.09.2012  04:25:35  40.6652	 30.6903   5.6       1.6
14.09.2012  05:00:22  40.4888	 30.5108   16.0      0.2
14.09.2012  16:20:31  40.7600	 30.4335   15.6      0.8
15.09.2012  10:23:01  40.5120	 30.0638   17.8      1.0
15.09.2012  12:30:45  40.7733	 30.2772   5.0       0.9
15.09.2012  23:15:28  40.5968	 30.1828   3.1       0.6
18.09.2012  10:26:00  40.5252	 30.0470   17.0      1.3
18.09.2012  18:35:40  40.7588	 30.4028   7.2       1.1
20.09.2012  14:34:57  40.4105	 29.9825   5.6       1.9
20.09.2012  21:34:42  40.6335	 30.5500   6.5       0.4
21.09.2012  00:41:00  40.5282	 30.5320   7.3       1.0
23.09.2012  14:07:48  40.3953	 30.1388   5.1       1.6
23.09.2012  19:59:49  40.7335	 30.3370   6.4       1.3
24.09.2012  10:33:18  40.1850	 29.9687   11.5      1.8
24.09.2012  13:40:29  40.4043	 29.9743   7.3       1.9
25.09.2012  10:19:17  40.7103	 30.1620   5.8       1.1
25.09.2012  11:22:19  40.2475	 29.9988   5.2       1.9
25.09.2012  18:02:16  40.4950	 30.4090   9.7       1.1
25.09.2012  18:13:08  40.4860	 30.4198   6.6       1.2
25.09.2012  18:13:30  40.4920	 30.4095   10.6      1.7
26.09.2012  11:54:41  40.4918	 30.4072   10.3      0.7
26.09.2012  12:02:01  40.4972	 30.4120   6.6       0.9
26.09.2012  13:23:20  40.4980	 30.4203   11.4      0.9
26.09.2012  23:11:38  40.2107	 30.4565   8.0       1.6
27.09.2012  01:18:57  40.8305	 30.7967   8.7       1.9
28.09.2012  00:03:23  40.4073	 30.1168   3.5       1.0
28.09.2012  00:55:58  40.4033	 29.9738   7.1       1.5
28.09.2012  03:25:11  40.8165	 29.9997   19.2      0.7
28.09.2012  13:30:56  40.2525	 30.0098   7.1       2.0
28.09.2012  21:36:07  40.6802	 29.9655   4.9       1.1
29.09.2012  04:44:35  40.7552	 30.4003   8.0       0.9
29.09.2012  08:01:20  40.1625	 29.9705   15.9      2.6
29.09.2012  08:56:26  40.7555	 30.3963   6.5       1.0
29.09.2012  17:12:25  40.6682	 30.5172   10.5      1.1
03.10.2012  06:28:11  40.1528	 29.9118   18.3      2.0
03.10.2012  11:12:06  40.4180	 30.0108   7.6       1.7
04.10.2012  09:21:58  40.1395	 29.9695   6.6       1.8
05.10.2012  08:10:18  40.6040	 30.4248   7.7       0.9
05.10.2012  12:30:03  40.2687	 29.9700   6.0       1.8
05.10.2012  12:50:25  40.2765	 29.9712   5.5       1.9
05.10.2012  13:22:49  40.2663	 30.1665   4.6       1.0
06.10.2012  00:44:15  40.4330	 30.3533   8.0       0.4
06.10.2012  11:28:35  40.7097	 30.2593   10.5      1.2
08.10.2012  14:32:44  40.4172	 29.9640   5.6       1.8
09.10.2012  10:39:37  40.1923	 30.0210   3.6       1.8
